Culture,SampleID,DateCollected,IsolateID,Host,Transect,Plot,GCEquadrantID,MarkedPlantID,SeqData,sim90,sim95,sim97,sim99,Phylo_species,FungusGenus,FungusSpecies,EstTaxPlacement,BLAST_FungusGenus,FungusFamily,FungusOrder,FungusClass,FungusSubphylum,FungusPhylum
0,G72,3/30/2015,72_60,AB,T8,8A,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G73,4/6/2015,73,AB,T1,1C,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G74,3/30/2015,74,SP,T1,1D,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G75,3/30/2015,75_30,PA,T10,10D,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G75,3/30/2015,75_60,PA,T10,10D,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,G76,4/6/2015,76,AB,T1,1C,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G766,5/4/2015,766,SP,JEFT6,JEF6B,NA,NA,1,D,D1,AY,AY,AY,Parastagonospora,sp.,Parastagonospora_sp.,Phaeosphaeria,Phaeosphaeriaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
1,G767,5/4/2015,767,SP,JEFT6,JEF6B,NA,NA,1,A2,G,G,G,G,Pyrenophora,sp.,Pyrenophora_sp.,Pyrenophora,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G768,5/4/2015,768,SP,JEFT6,JEF6B,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G769,5/4/2015,769,SP,JEFT6,JEF6B,NA,NA,1,A2,G,G,G,G,Pyrenophora,sp.,Pyrenophora_sp.,Pyrenophora,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
1,G77,3/30/2015,77_30,EG,T8,8A,NA,NA,1,A2,E,E,E,E,Pyrenophora,tritici-repentis,Pyrenophora_tritici-repentis,Pyrenophora,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
1,G770,5/4/2015,770b,SP,JEFT6,JEF6C,NA,NA,1,D,D1,D,D,D,Parastagonospora,nodorum,Parastagonospora_nodorum,Phaeosphaeria,Phaeosphaeriaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
1,G770,5/4/2015,770a,SP,JEFT6,JEF6C,NA,NA,1,F,F,F,F,F,Pyrenophora,fugax,Pyrenophora_fugax,Pyrenophora,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G771,5/4/2015,771,SP,JEFT6,JEF6C,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G772,5/4/2015,772,SP,JEFT6,JEF6C,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G773,5/4/2015,773,SP,JEFT6,JEF6C,NA,NA,1,H,H,H,H,H1,Cladosporium,cladosporioides species complex,Cladosporium_cladosporioides species complex,NA,Cladosporiaceae,Capnodiales,Dothideomycetes,Pezizomycotina,Ascomycota
1,G774,5/4/2015,774b,SP,JEFT6,JEF6C,NA,NA,1,C,C,C,AQ,C1,Alternaria,infectoria species–group,Alternaria_infectoria species–group,Lewia,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
0,G775,5/4/2015,775,SP,JEFT6,JEF6D,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,G776,5/4/2015,776,SP,JEFT6,JEF6D,NA,NA,1,F*,F*,F*,F*,F,Pyrenophora,fugax,Pyrenophora_fugax,Pyrenophora,Pleosporaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
1,G777,5/4/2015,777a,SP,JEFT6,JEF6D,NA,NA,1,D,D1,D,D,D,Parastagonospora,nodorum,Parastagonospora_nodorum,Phaeosphaeria,Phaeosphaeriaceae,Pleosporales,Dothideomycetes,Pezizomycotina,Ascomycota
